NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Fort Logan,8918.0,2443.0,5708.0,177.0,58.0,410.0,14.0,5.0,103.0,27.68883213,64.08129104,2.13076361,0.63090414,3.98788352,0.18216872,0.03510989,1.26304695,4364.0,4554.0,581.0,563.0,441.0,278.0,1144.0,832.0,1245.0,1023.0,925.0,1355.0,1117.0,726.0,551.0,1863.0,2173.0,20.14661815,24.45606753,43.63333333,42.33333333,45.13333333,8534,2020,167,105,483,325,367,408,165,6514,3875.0,885.0,1160.0,1156.0,345.0,329.0,6444.0,607.0,1510.0,2068.0,2259.0,8337.0,7116.0,860.0,3411,3288,123,2437,851,3288,2280,1626,654,216,438,1008,861,147,228,81,99,145,83,179,77,77,181,121,273,579,321,418,195,231,77998,93222,35947,77998,93222,44080,55758,37890,33528,39410,41407,57161,81602,1975.0,4,109,110,390,296,1302,825,332,13,30,1016,1163,364900,8403,515,91,13,19,0,59,216,43,35,138,0,5,0,0,0,0,0,203,186,0,137,49,17,10.06666667,7.06196561
Chaffee Park,3850.0,2092.0,1619.0,35.0,7.0,9.0,16.0,0.0,72.0,54.33766234,42.05194805,0.90909091,0.18181818,0.23376623,0.41558442,0.0,1.87012987,2005.0,1845.0,164.0,115.0,240.0,151.0,279.0,437.0,592.0,699.0,434.0,516.0,501.0,262.0,130.0,670.0,796.0,17.4025974,20.67532468,38.3,34.9,40.7,3759,835,72,36,74,203,147,123,180,2924,1823.0,307.0,805.0,409.0,210.0,92.0,2996.0,682.0,767.0,649.0,898.0,3686.0,2292.0,1344.0,1704,1618,86,1068,550,1618,816,663,153,40,113,802,635,167,75,152,51,118,86,23,125,54,79,89,203,201,144,119,40,59,55541,72821,32119,55541,72821,42768,45759,36705,25868,28077,43800,50793,69844,1948.0,38,137,23,38,38,76,108,247,881,118,1138,1267,257400,3223,627,7,0,7,0,0,9,0,0,9,0,9,9,0,0,0,0,602,602,0,602,0,0,8.2,3.79901961
Sunnyside,10151.0,4724.0,4574.0,312.0,140.0,189.0,14.0,49.0,149.0,47.12023108,44.33085053,3.09042606,1.53233864,1.82121253,0.11692976,0.44529012,1.54272128,5016.0,5135.0,612.0,537.0,566.0,325.0,1149.0,1032.0,1781.0,2348.0,1162.0,1102.0,692.0,712.0,173.0,2040.0,1553.0,19.94836825,15.03252746,34.06666667,33.43333333,34.46666667,9770,2133,218,108,446,484,383,339,155,7637,5236.0,1045.0,2611.0,905.0,363.0,312.0,7562.0,1553.0,1505.0,1686.0,2818.0,9539.0,7440.0,1869.0,4437,4210,227,2170,2040,4210,2333,1362,971,262,709,1877,1315,562,589,223,128,151,136,243,132,135,92,339,294,457,443,307,238,303,59628,67092,34108,59628,67092,43004,43434,41311,25716,30311,34295,65937,63643,1297.66666667,22,137,52,147,132,213,274,839,631,1990,868,917,399333,9128,1023,88,32,0,35,21,113,41,11,61,0,22,22,0,0,0,17,783,774,0,734,40,9,19.56666667,18.12729567
Highland,9600.0,2147.0,6978.0,63.0,127.0,174.0,0.0,0.0,111.0,22.85810597,72.27821607,0.67355818,1.24684129,1.85564245,0.0,0.0,1.08763604,4907.0,4693.0,341.0,332.0,314.0,155.0,673.0,541.0,2223.0,2591.0,1506.0,960.0,586.0,267.0,253.0,1142.0,1099.0,12.20622567,11.20834495,33.6,34.05,33.1,9362,1285,130,56,252,222,202,197,226,8077,5967.0,1427.0,2580.0,1337.0,426.0,197.0,7896.0,684.0,788.0,928.0,5496.0,9259.0,7907.0,1111.0,5510,5087,423,2082,3005,5087,1620,1240,380,213,167,3467,2364,1103,207,171,86,292,139,130,123,148,80,221,506,662,594,435,596,697,87792,117166,62765,87792,117166,57728,63316,53546,62429,19141,47298,63223,79471,1974.5,626,563,708,218,186,219,234,305,297,2154,1546,1650,517650,8739,861,171,35,31,55,50,108,60,24,24,0,17,17,0,0,0,0,565,505,0,463,42,60,7.6,1.97585071
Globeville,4550.0,2710.0,1478.0,203.0,10.0,40.0,0.0,17.0,92.0,59.56043956,32.48351648,4.46153846,0.21978022,0.87912088,0.0,0.37362637,2.02197802,2664.0,1886.0,260.0,406.0,284.0,74.0,666.0,910.0,978.0,850.0,284.0,429.0,304.0,79.0,50.0,1024.0,296.0,22.50549451,6.50549451,28.2,27.1,29.7,4428,1593,33,103,303,227,110,806,11,2835,2088.0,423.0,868.0,671.0,54.0,72.0,2430.0,758.0,783.0,509.0,380.0,4290.0,2456.0,1715.0,1272,1184,88,485,699,1184,813,443,370,122,248,371,268,103,117,22,77,71,70,30,84,59,56,182,163,176,35,9,0,33,50185,51616,16682,50185,51616,28930,31745,25222,26636,27326,39176,29531,39167,1942.0,31,62,135,63,0,64,113,28,175,601,851,995,211600,3618,932,28,19,9,0,0,19,19,0,0,0,23,23,0,0,0,5,857,857,0,838,19,0,32.1,21.15621156
Jefferson Park,3165.0,955.0,1994.0,57.0,25.0,113.0,0.0,0.0,21.0,30.17377567,63.00157978,1.80094787,0.78988942,3.57030016,0.0,0.0,0.66350711,1537.0,1628.0,181.0,73.0,33.0,28.0,254.0,102.0,1115.0,1077.0,260.0,176.0,103.0,65.0,13.0,315.0,169.0,9.95260664,5.33965245,31.0,31.5,30.5,3048,550,14,0,73,33,28,225,177,2498,2219.0,452.0,1133.0,321.0,123.0,190.0,2620.0,329.0,228.0,429.0,1634.0,2984.0,2138.0,674.0,1995,1859,136,411,1448,1859,562,411,151,55,96,1297,887,410,164,80,70,103,62,62,124,90,30,122,150,187,172,176,160,107,62664,74792,48515,62664,74792,51033,63194,42419,15956,20584,37617,59191,73494,2000.0,509,181,320,19,22,151,185,196,23,389,1125,1152,497000,2678,487,41,9,0,0,32,33,13,10,10,0,11,0,0,0,11,0,402,402,0,378,24,0,17.5,17.43772242
Sun Valley,1462.0,684.0,182.0,485.0,26.0,85.0,0.0,0.0,0.0,46.78522572,12.44870041,33.17373461,1.77838577,5.81395349,0.0,0.0,0.0,733.0,729.0,322.0,213.0,227.0,95.0,535.0,345.0,126.0,159.0,109.0,30.0,116.0,2.0,40.0,857.0,129.0,58.61833105,8.82352941,14.6,11.3,25.2,1249,666,51,44,195,136,173,37,30,583,203.0,37.0,121.0,19.0,17.0,9.0,557.0,231.0,170.0,127.0,29.0,1140.0,712.0,167.0,511,465,46,53,412,465,301,75,226,8,218,164,158,6,246,49,47,34,27,13,18,2,6,14,0,0,9,0,0,0,9766,9707,5539,9766,9707,11196,22206,8214,10714,None,9625,None,None,1957.0,0,0,0,37,29,40,98,180,22,105,228,241,None,1165,297,1,0,0,0,1,118,0,5,85,28,150,63,87,0,0,0,28,28,0,28,0,0,80.2,79.73421927
Valverde,4560.0,3597.0,474.0,172.0,0.0,275.0,0.0,33.0,9.0,78.88157895,10.39473684,3.77192982,0.0,6.03070175,0.0,0.72368421,0.19736842,2346.0,2214.0,389.0,491.0,367.0,256.0,880.0,706.0,430.0,781.0,592.0,549.0,330.0,164.0,128.0,1503.0,501.0,32.96052632,10.98684211,33.7,31.8,33.9,4370,1253,75,66,509,192,304,97,10,3117,1827.0,336.0,562.0,738.0,159.0,32.0,2697.0,1022.0,945.0,360.0,370.0,4171.0,1594.0,2234.0,1366,1318,48,728,590,1318,944,638,306,107,199,374,326,48,146,82,117,63,43,0,146,117,26,158,115,101,84,86,21,13,42917,51311,16756,42917,51311,31261,36085,22181,29625,31410,31250,31250,49477,1952.0,0,38,3,10,37,84,52,580,376,186,1054,1130,208300,3040,1520,0,0,0,0,0,185,27,0,158,0,153,33,0,0,120,0,1182,1182,6,1164,12,0,16.6,16.52542373
Athmar Park,9504.0,6389.0,2278.0,128.0,111.0,482.0,6.0,25.0,85.0,66.9674761,24.50059048,1.20351494,1.36162905,4.64465502,0.05526898,0.24861999,1.01824545,4766.0,4738.0,560.0,816.0,825.0,313.0,1376.0,1336.0,1273.0,1642.0,1372.0,968.0,846.0,542.0,149.0,2514.0,1512.0,26.45451239,15.69382181,34.45,34.45,34.9,9147,2495,98,198,687,688,445,302,77,6652,4081.0,728.0,1560.0,1220.0,272.0,301.0,6444.0,2067.0,1862.0,1362.0,1153.0,8944.0,4089.0,4387.0,3218,3173,45,1790,1383,3173,2127,1340,787,325,462,1046,743,303,173,178,206,130,116,195,267,263,121,357,424,321,157,161,47,57,47827,50020,20216,47827,50020,33122,34508,28157,28490,24330,35227,46723,67812,1956.0,33,0,7,71,115,209,116,2042,395,230,1052,1190,233600,7120,2384,22,11,11,0,0,381,32,26,323,0,8,8,0,0,0,0,1973,1973,0,1973,0,0,20.75,19.79402557
Elyria Swansea,6626.0,5360.0,902.0,251.0,36.0,13.0,0.0,0.0,64.0,80.89345005,13.61303954,3.78810746,0.54331422,0.1961968,0.0,0.0,0.96589194,3523.0,3103.0,357.0,646.0,546.0,347.0,1003.0,1113.0,989.0,711.0,1081.0,895.0,492.0,223.0,119.0,1896.0,689.0,28.61454875,10.39843043,32.7,30.7,35.3,6400,1916,78,204,471,394,442,243,84,4484,3020.0,720.0,1350.0,601.0,246.0,103.0,3985.0,1644.0,1154.0,653.0,534.0,6269.0,1853.0,4412.0,1985,1803,182,830,973,1803,1409,822,587,132,455,394,266,128,87,107,51,195,49,104,62,76,84,236,208,297,151,24,0,72,54602,53466,18540,54602,53466,30501,33179,26168,27315,29890,30972,31726,None,1951.0,0,0,102,136,45,154,100,507,318,623,969,1110,211400,4272,2354,16,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2338,2338,36,2291,11,0,20.7,18.94960965
