NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Wellshire,3453.0,392.0,2820.0,31.0,0.0,83.0,0.0,0.0,127.0,11.35244715,81.66811468,0.89777006,0.0,2.40370692,0.0,0.0,3.67796119,1657.0,1796.0,223.0,259.0,167.0,200.0,482.0,446.0,238.0,429.0,437.0,421.0,379.0,342.0,279.0,849.0,957.0,24.58731538,27.71503041,42.6,39.3,45.6,3308,862,54,29,237,147,219,69,107,2446,1570.0,398.0,601.0,426.0,59.0,86.0,2413.0,61.0,241.0,420.0,1691.0,3230.0,2893.0,217.0,1435,1342,93,1157,185,1342,1017,848,169,30,139,325,298,27,18,0,33,40,19,19,28,52,79,113,76,147,148,87,88,395,110571,128393,63199,110571,128393,68087,81563,56979,None,37750,36484,76000,101066,None,0,33,31,25,8,196,141,968,33,0,2071,2190,633800,3203,250,82,18,0,11,53,49,34,0,15,0,34,34,0,0,0,0,85,85,3,82,0,0,3.3,2.06489676
University,9633.0,780.0,7717.0,313.0,0.0,657.0,0.0,0.0,166.0,8.69711039,79.41477096,3.64229302,0.0,6.52421564,0.0,0.0,1.72160998,4964.0,4669.0,393.0,275.0,325.0,102.0,668.0,2281.0,2950.0,1406.0,873.0,465.0,682.0,170.0,138.0,1095.0,649.0,10.55740603,6.1897414,25.05,25.3,24.75,9317,4473,70,43,252,235,153,3150,570,4844,4496.0,1342.0,1789.0,1050.0,182.0,133.0,5075.0,46.0,382.0,1027.0,3620.0,9240.0,7953.0,253.0,3808,3498,310,1687,1811,3498,1400,1130,270,138,132,2098,1360,738,331,166,177,83,166,184,79,128,66,249,298,234,372,299,250,416,61516,114426,37961,61516,114426,51914,56646,44666,None,21776,35982,58634,58360,1956.0,64,22,155,87,132,378,678,877,569,846,1225,1271,479300,8693,940,252,41,185,0,26,465,399,8,20,38,130,26,0,0,72,0,93,66,9,23,34,27,16.35,4.27045029
Rosedale,2645.0,415.0,2065.0,56.0,8.0,96.0,0.0,0.0,5.0,15.6899811,78.07183365,2.11720227,0.30245747,3.6294896,0.0,0.0,0.18903592,1270.0,1375.0,123.0,112.0,58.0,32.0,235.0,90.0,541.0,657.0,403.0,291.0,192.0,116.0,120.0,325.0,346.0,12.28733459,13.08128544,34.9,35.1,34.9,2573,362,23,54,42,53,37,77,76,2211,1637.0,207.0,880.0,298.0,202.0,50.0,2225.0,65.0,222.0,392.0,1546.0,2522.0,2266.0,160.0,1433,1295,138,709,586,1295,581,442,139,95,44,714,529,185,65,16,13,15,58,38,28,59,13,115,136,150,128,112,214,135,91033,120129,53971,91033,120129,60348,62873,55000,None,None,32419,63770,64583,1952.0,28,38,81,68,143,112,98,183,314,368,1556,1600,462500,2449,196,57,10,0,0,47,26,21,0,5,0,0,0,0,0,0,0,113,107,59,25,23,6,7.4,1.37693632
Cheesman Park,8998.0,624.0,7753.0,131.0,25.0,211.0,25.0,1.0,228.0,6.63317942,86.27222168,1.41625678,0.37650602,2.72739956,0.22014794,0.00880592,2.34548267,4650.0,4348.0,156.0,146.0,164.0,76.0,302.0,298.0,2357.0,2289.0,1051.0,925.0,1046.0,493.0,237.0,542.0,1601.0,5.67342989,19.87726885,36.2,38.75,33.2,8907,991,42,0,122,133,157,214,323,7916,6033.0,1388.0,2756.0,1291.0,308.0,290.0,8036.0,86.0,449.0,1926.0,5575.0,8842.0,8138.0,247.0,5844,5501,343,1863,3638,5501,1437,1111,326,119,207,4064,3058,1006,332,173,151,84,286,343,328,222,249,498,644,637,331,334,290,599,60782,113256,59156,60782,113256,48118,48206,46419,None,30834,33468,43625,65722,1959.0,136,0,87,181,303,951,1493,435,277,1981,1201,1232,356600,8509,489,146,46,37,17,46,173,66,33,22,52,0,0,0,0,0,16,154,101,49,44,8,53,10.15,3.53375527
Hilltop,9365.0,504.0,7875.0,301.0,51.0,260.0,13.0,58.0,303.0,5.42433055,84.38155632,3.02995335,0.50073937,2.56531874,0.16021691,0.7148139,3.22307086,4101.0,5264.0,929.0,620.0,579.0,171.0,1549.0,816.0,707.0,1284.0,1400.0,1211.0,1245.0,602.0,551.0,2299.0,2186.0,25.07184035,23.18539793,42.8,45.75,41.15,8762,2126,255,97,571,435,253,264,251,6636,3812.0,826.0,1681.0,963.0,166.0,176.0,6598.0,117.0,435.0,773.0,5273.0,8436.0,7657.0,205.0,4021,3777,244,2775,1002,3777,2427,2122,305,46,259,1350,1062,288,148,66,82,92,86,9,150,61,47,135,303,254,331,319,412,1282,157800,197448,97028,157800,197448,86326,119448,64956,None,34300,78838,87628,89538,1959.5,120,41,497,226,155,384,445,1169,494,490,1878,1998,820350,8761,604,325,59,81,45,140,110,100,10,0,0,84,0,0,0,0,33,52,16,7,0,9,36,6.35,3.67634145
Montclair,5866.0,588.0,4619.0,98.0,17.0,83.0,0.0,124.0,337.0,10.02386635,78.74190249,1.67064439,0.28980566,1.41493352,0.0,2.11387658,5.74497102,2705.0,3161.0,313.0,383.0,134.0,113.0,696.0,273.0,1120.0,1199.0,753.0,721.0,625.0,342.0,137.0,943.0,956.0,16.07569042,16.29730651,38.1,38.5,38.0,5620,1030,129,112,208,110,123,168,180,4590,3377.0,469.0,1677.0,962.0,164.0,105.0,4618.0,20.0,336.0,761.0,3501.0,5553.0,4850.0,288.0,2920,2782,138,2026,756,2782,1186,1013,173,25,148,1596,1160,436,108,8,15,33,109,55,53,31,75,252,204,447,432,284,312,364,100043,131818,61135,100043,131818,59599,64219,56311,None,39306,43856,65208,70208,1949.0,29,18,72,131,74,70,123,818,1073,512,1618,1646,433400,5301,565,229,0,0,0,229,97,31,36,30,0,9,9,0,0,0,19,211,155,0,118,37,56,4.2,0.0
Hale,7457.0,659.0,5863.0,395.0,21.0,259.0,0.0,14.0,246.0,9.21136168,79.95186247,4.87355311,0.29946175,2.7358375,0.0,0.14218972,2.78573376,3573.0,3884.0,436.0,284.0,216.0,62.0,720.0,291.0,1252.0,1814.0,1093.0,1019.0,712.0,355.0,201.0,998.0,1183.0,14.55028192,16.37176608,38.35,37.4,38.4,7160,1171,125,112,175,180,85,241,253,5989,4321.0,1073.0,2062.0,838.0,196.0,152.0,6195.0,243.0,583.0,1302.0,4067.0,7021.0,6263.0,245.0,4590,4196,394,1891,2305,4196,1481,1092,389,95,294,2715,2040,675,346,275,187,137,244,171,130,99,198,271,388,533,190,422,326,279,68372,104862,49732,68372,104862,52382,56896,52050,None,52112,37914,57252,65128,1953.5,184,39,81,156,196,407,829,900,826,972,1162,1206,432000,6826,631,180,30,50,0,100,260,175,24,18,18,16,0,0,0,0,0,175,166,0,151,15,9,10.75,6.24121114
North Park Hill,10192.0,708.0,5965.0,2754.0,0.0,140.0,35.0,147.0,443.0,7.13635843,58.11144286,27.1661079,0.0,1.33214769,0.32098313,1.44593708,4.48702292,4811.0,5381.0,738.0,705.0,514.0,291.0,1443.0,888.0,755.0,2280.0,1860.0,1025.0,1017.0,692.0,232.0,2248.0,1955.0,21.93187341,18.98717925,38.35,37.1,39.7,9629,2221,148,170,488,471,395,267,282,7408,5232.0,632.0,2890.0,1112.0,289.0,309.0,7656.0,633.0,933.0,1415.0,4675.0,9454.0,8742.0,408.0,4240,4095,145,3661,434,4095,2653,2000,653,154,499,1442,958,484,105,66,42,113,69,125,51,100,124,320,268,631,475,372,536,698,103657,117433,51206,103657,117433,57764,68972,52493,16798,52125,46438,56206,91534,975.0,0,0,68,41,57,52,160,1107,1489,1266,1525,1770,400200,9750,442,0,0,0,0,0,170,35,0,124,11,98,11,0,14,0,0,174,149,4,145,0,25,5.35,3.31543081
South Park Hill,9531.0,905.0,7250.0,797.0,42.0,288.0,0.0,0.0,249.0,9.49717585,76.02965691,8.39669399,0.43821372,3.03327254,0.0,0.0,2.604987,4587.0,4944.0,747.0,568.0,498.0,208.0,1315.0,1060.0,919.0,1558.0,1265.0,1325.0,1308.0,638.0,143.0,2021.0,2029.0,21.16995664,21.30485565,39.4,39.7,38.85,9068,2345,236,143,402,397,302,648,217,6723,4376.0,966.0,2080.0,931.0,192.0,207.0,6685.0,314.0,422.0,1109.0,4840.0,8784.0,7800.0,542.0,3784,3637,147,2948,689,3637,2438,2160,278,98,180,1199,910,289,71,42,67,85,70,132,103,39,62,172,212,447,507,399,414,815,115081,139380,61554,115081,139380,60920,68460,58707,31050,51652,35682,70896,76388,0.0,0,49,71,65,17,95,109,358,496,2524,1048,1157,590200,8653,878,139,86,16,0,37,209,27,100,0,82,58,5,23,8,16,35,437,348,15,290,43,89,5.55,3.91988879
Virginia Village,14701.0,2385.0,10294.0,937.0,0.0,658.0,32.0,98.0,297.0,15.87131603,70.40497258,6.34776734,0.0,4.47964145,0.20434227,0.6675217,2.02443861,7477.0,7224.0,891.0,671.0,622.0,258.0,1562.0,1062.0,2934.0,3103.0,1724.0,1645.0,1591.0,532.0,548.0,2442.0,2155.0,16.65872715,14.89494405,36.0,35.275,37.1,14079,2745,147,134,565,497,346,728,328,11334,8133.0,1873.0,3220.0,1916.0,649.0,475.0,11192.0,825.0,1694.0,2847.0,5826.0,13810.0,11307.0,1112.0,6798,6432,366,2667,3765,6432,3019,2227,792,341,451,3413,2363,1050,276,277,222,338,387,317,218,298,281,615,540,998,531,339,501,294,70241,79163,37614,70241,79163,41284,42222,40383,25198,30022,33311,48022,55277,1963.0,76,5,50,126,339,1335,1942,2727,115,83,1240,1357,360575,12529,2172,367,68,70,59,170,837,227,42,342,226,312,27,0,6,24,0,656,641,0,572,69,15,14.6,11.12008279
DIA,1519.0,453.0,537.0,389.0,7.0,29.0,0.0,0.0,104.0,29.82225148,35.3522054,25.60895326,0.46082949,1.90915076,0.0,0.0,6.84660961,703.0,816.0,150.0,151.0,72.0,52.0,301.0,124.0,280.0,287.0,260.0,107.0,106.0,54.0,0.0,425.0,135.0,27.97893351,8.88742594,32.6,33.4,30.7,1426,389,71,22,101,67,52,70,6,1037,809.0,83.0,367.0,222.0,75.0,62.0,1016.0,60.0,244.0,501.0,211.0,1369.0,1129.0,162.0,636,636,0,447,189,636,332,182,150,28,122,304,250,54,0,45,28,32,30,14,23,59,35,87,101,97,67,9,0,9,54592,62941,26286,54592,62941,41976,42423,40288,None,36632,40625,45000,44583,2005.0,0,32,526,54,5,19,0,0,0,0,1235,1395,187000,1299,220,12,0,12,0,0,29,7,0,22,0,85,85,0,0,0,0,94,94,0,87,7,0,7.0,6.62650602
University Hills,5729.0,652.0,4504.0,136.0,45.0,115.0,0.0,0.0,277.0,8.42715466,79.07778295,4.41388925,1.01116703,2.45263223,0.0,0.0,4.61737389,2860.0,2869.0,369.0,173.0,219.0,51.0,542.0,280.0,477.0,1327.0,822.0,626.0,787.0,323.0,545.0,812.0,1291.0,13.88607229,27.44409589,45.65,38.8,51.35,5455,764,82,8,155,182,136,130,71,4691,2990.0,683.0,1293.0,651.0,194.0,169.0,4745.0,450.0,789.0,1078.0,2428.0,5360.0,4796.0,477.0,2906,2755,151,1714,1041,2755,1372,1034,338,195,143,1383,1053,330,90,97,171,94,139,124,64,108,65,220,211,440,325,165,268,174,61777,91702,43645,61777,91702,47576,51764,42013,22073,45994,38954,54875,57617,1960.5,101,148,106,9,132,177,449,1692,67,25,1412,1578,346250,5265,464,42,9,5,0,28,62,48,6,8,0,19,0,0,0,10,0,341,320,2,264,54,21,5.35,1.17260788
Harvey Park,13336.0,8141.0,4157.0,203.0,29.0,662.0,0.0,14.0,130.0,60.55344259,31.63030109,1.58961995,0.21598554,4.88391498,0.0,0.11844332,1.00829254,6678.0,6658.0,1184.0,1126.0,823.0,498.0,2310.0,1551.0,2315.0,2197.0,1522.0,1491.0,916.0,455.0,579.0,3631.0,1570.0,27.20266927,11.80068839,31.7,31.4,32.4,12588,3647,337,168,1039,717,595,708,83,8941,6592.0,928.0,2620.0,2072.0,682.0,290.0,8429.0,2168.0,2444.0,1781.0,2036.0,12152.0,7197.0,4340.0,4532,4431,101,2888,1543,4431,2941,1936,1005,277,728,1490,967,523,177,124,259,167,169,191,207,239,177,317,842,887,268,145,133,129,59329,61754,24072,59329,61754,33556,36297,29493,25100,29186,36917,53796,63876,1957.5,31,12,22,64,66,823,395,2792,316,11,967,1108,256100,10538,2798,51,0,13,0,38,516,90,0,426,0,0,0,0,0,0,0,2231,2205,10,2116,79,26,14.85,12.67098647
Mar Lee,12779.0,7904.0,3573.0,261.0,267.0,633.0,0.0,55.0,86.0,61.82444061,28.63995031,1.96356369,1.89868918,4.63396252,0.0,0.43075313,0.60864056,6472.0,6307.0,892.0,997.0,865.0,541.0,1889.0,1857.0,1965.0,2156.0,1781.0,1354.0,997.0,354.0,426.0,3295.0,1476.0,25.64909174,11.92748943,33.1,31.35,36.2,12118,2964,177,150,838,600,715,458,26,9154,5752.0,1050.0,1600.0,1954.0,737.0,411.0,8061.0,2399.0,2796.0,1713.0,1153.0,11887.0,5963.0,5275.0,4482,4286,196,2508,1778,4286,3001,1951,1050,306,744,1285,1047,238,403,139,230,228,314,214,297,234,191,356,563,485,243,193,166,30,47202,57706,20622,47202,57706,33864,36026,30427,29458,30754,33115,40078,49203,1956.5,0,0,0,145,137,510,382,2739,484,85,985,1110,208800,9135,3644,39,0,14,0,25,516,29,18,469,0,54,40,0,0,0,0,3035,3035,7,3028,0,0,13.85,9.60907116
Westwood,17513.0,13823.0,2281.0,468.0,245.0,654.0,0.0,0.0,42.0,78.73561917,12.99637038,2.80905065,1.42854936,3.76693689,0.0,0.0,0.26347356,8470.0,9043.0,1611.0,2058.0,1762.0,740.0,3669.0,2978.0,2603.0,2488.0,2386.0,1588.0,1004.0,469.0,328.0,6171.0,1460.0,35.28500757,8.41022996,28.3,29.6,27.6,16616,5532,437,424,1629,1294,1192,477,79,11084,6894.0,789.0,1925.0,2980.0,669.0,531.0,9989.0,3859.0,3327.0,1831.0,972.0,15902.0,5954.0,9141.0,5299,5018,281,1774,3244,5018,3652,2189,1463,294,1169,1366,1020,346,500,384,405,419,325,301,418,312,212,435,255,563,324,57,63,45,36718,37090,15053,36718,37090,27385,33155,18372,22510,28074,32489,34675,None,1954.75,0,63,222,128,131,642,300,2213,1282,318,884,1023,198350,11945,5568,0,0,0,0,0,518,63,83,372,0,189,43,4,12,1,0,4861,4840,62,4772,6,21,29.075,27.20385306
East Colfax,10587.0,2833.0,3747.0,2653.0,99.0,925.0,0.0,58.0,272.0,27.91026966,36.73972672,23.60051369,0.89138109,7.52765816,0.0,0.66361556,2.66683512,5415.0,5172.0,720.0,569.0,606.0,295.0,1289.0,1136.0,2334.0,2316.0,1440.0,1222.0,435.0,266.0,149.0,2190.0,900.0,19.72049032,8.73385848,32.45,30.9,33.25,10099,2498,56,156,486,445,484,613,258,7601,5758.0,928.0,2136.0,1654.0,634.0,406.0,7123.0,1327.0,1376.0,2108.0,2312.0,9867.0,6269.0,1840.0,4731,4423,308,1537,2886,4423,2018,1162,856,201,655,2405,1676,729,465,259,157,189,359,186,206,209,234,445,470,573,281,154,162,74,48602,53264,28642,48602,53264,36336,38534,33510,27177,31299,36564,52130,57669,1958.5,14,28,281,173,276,806,503,968,1211,471,1000,1100,267800,7982,2605,74,20,20,0,34,750,145,393,212,0,925,638,64,0,129,4,852,841,0,717,124,11,19.95,17.64804725
Auraria,818.0,193.0,564.0,10.0,7.0,22.0,0.0,11.0,11.0,23.59413203,68.94865526,1.22249389,0.85574572,2.68948655,0.0,1.34474328,1.34474328,401.0,417.0,0.0,0.0,0.0,0.0,0.0,552.0,178.0,30.0,18.0,10.0,30.0,0.0,0.0,0.0,8.0,0.0,0.97799511,19.6,19.6,19.5,818,741,0,0,0,0,0,737,4,77,343.0,152.0,88.0,60.0,11.0,32.0,102.0,0.0,4.0,32.0,66.0,818.0,721.0,43.0,68,40,28,32,8,40,18,18,0,0,0,22,15,7,0,0,0,0,0,0,0,4,4,3,4,4,0,4,3,14,125625,None,11484,125625,None,41250,None,57917,None,None,None,None,None,0.0,0,0,4,0,0,4,0,4,0,56,None,None,522700,765,53,0,0,0,0,0,22,11,11,0,0,10,10,0,0,0,0,21,21,0,21,0,0,0.0,0.0
University Park,8193.0,836.0,6148.0,88.0,46.0,688.0,0.0,0.0,387.0,10.57514445,74.80136745,1.30866916,0.62791,8.28339186,0.0,0.0,4.40351708,4032.0,4161.0,215.0,440.0,360.0,143.0,655.0,688.0,2316.0,1240.0,1117.0,827.0,648.0,402.0,300.0,1158.0,1204.0,12.99244747,14.70558126,33.9,34.35,32.15,8069,2846,87,91,386,261,184,1335,502,5223,3909.0,1079.0,1979.0,557.0,168.0,126.0,5318.0,125.0,474.0,1151.0,3568.0,7978.0,6715.0,417.0,4146,3699,447,1571,2128,3699,1631,1346,285,49,236,2068,1451,617,413,181,0,164,239,173,105,111,111,284,186,396,206,136,305,689,68926,147565,59398,68926,147565,49042,74253,35549,None,30960,25020,68502,56886,1967.5,139,287,721,122,294,325,715,630,511,402,1162,1240,651700,7129,1064,118,12,49,0,57,679,469,54,114,42,50,0,0,11,39,0,217,96,0,38,58,121,18.4,6.43433065
Union Station,6523.0,577.0,5321.0,65.0,9.0,442.0,0.0,0.0,109.0,8.84562318,81.57289591,0.99647402,0.13797333,6.7760233,0.0,0.0,1.67101027,3952.0,2571.0,106.0,66.0,52.0,20.0,172.0,104.0,1567.0,1634.0,654.0,1002.0,800.0,325.0,265.0,244.0,975.0,3.74061015,14.94711023,36.7,35.9,40.3,6435,587,18,16,50,52,20,211,220,5848,3931.0,948.0,1766.0,727.0,367.0,123.0,6027.0,327.0,442.0,820.0,4438.0,6417.0,5706.0,132.0,5436,4344,1092,1396,2948,4344,1041,941,100,49,51,3303,2486,817,527,202,106,23,75,52,59,58,100,255,300,523,370,411,449,834,93654,132199,94698,93654,132199,71336,76089,67848,38690,None,47917,67994,115347,2002.0,1157,388,1464,454,561,442,103,89,19,759,1735,1783,615300,5819,704,149,55,15,0,79,402,300,52,50,0,0,0,0,0,0,41,112,112,0,91,21,0,13.6,13.35254563
Stapleton,24389.0,2537.0,17688.0,1867.0,85.0,1062.0,23.0,55.0,1072.0,10.41669511,72.48137591,7.63032809,0.3279574,4.45934608,0.10061242,0.21220773,4.37147726,12116.0,12273.0,2499.0,2547.0,1827.0,644.0,5046.0,2540.0,2061.0,5684.0,4718.0,2103.0,1248.0,757.0,232.0,7517.0,1990.0,30.78004781,8.26799907,35.2,34.85,35.5,22854,6622,775,557,1997,1523,737,441,592,16232,10153.0,1697.0,4415.0,3031.0,732.0,278.0,16424.0,559.0,1733.0,2576.0,11556.0,21890.0,19233.0,1120.0,8405,8251,154,5948,2303,8251,5717,4734,983,342,641,2534,2006,528,264,147,124,105,142,119,160,170,124,450,337,819,885,1026,1231,2148,133744,156065,52620,133744,156065,78276,93995,61462,7004,26474,40087,79720,96287,2009.0,1788,1989,4252,277,65,0,8,26,0,0,1700,1828,541200,22687,1702,371,112,66,15,178,670,371,61,203,35,235,121,0,62,0,10,416,344,43,201,100,72,4.55,2.62231394
Montbello,37463.0,23848.0,3737.0,7670.0,100.0,751.0,184.0,166.0,1007.0,63.91880271,10.30539064,19.88544901,0.27724715,2.0068129,0.54987747,0.48685404,2.56956608,18504.0,18959.0,2841.0,3626.0,3766.0,2058.0,6467.0,7082.0,5402.0,5615.0,5066.0,3767.0,2407.0,1178.0,479.0,12291.0,3533.0,33.04163098,9.45937709,29.73333333,29.53333333,29.46666667,35801,11622,402,583,3069,3015,2633,1726,194,24179,15631.0,2739.0,6153.0,3709.0,1348.0,1682.0,21376.0,7631.0,6482.0,5036.0,2227.0,34622.0,13532.0,19687.0,9519,9314,205,5751,3563,9314,7758,4852,2906,862,2044,1556,1352,204,509,383,347,373,554,549,504,393,523,864,835,1490,972,562,300,156,58583,57390,18718,58583,57390,31289,36317,25673,30212,31230,35000,30198,56314,1979.16666667,34,20,838,1801,1631,3515,1374,226,46,34,1158,1351,223250,26050,11413,80,7,52,14,7,597,59,11,527,0,540,152,0,0,271,71,10125,10125,146,9876,103,0,17.9,16.00398141
Lowry Field,8902.0,1227.0,6244.0,527.0,114.0,536.0,0.0,31.0,223.0,13.78341946,70.14154123,5.92001797,1.2806111,6.02111885,0.0,0.34823635,2.50505504,3846.0,5056.0,452.0,544.0,604.0,266.0,996.0,1066.0,1140.0,1615.0,1187.0,1164.0,954.0,528.0,252.0,1866.0,1540.0,20.96158167,17.29948326,36.7,36.0,38.0,8619,2348,96,69,432,558,405,356,432,6271,4392.0,953.0,1754.0,1165.0,283.0,237.0,6392.0,226.0,488.0,1065.0,4613.0,8450.0,7053.0,571.0,4248,3964,284,2181,1783,3964,2117,1661,456,92,364,1847,1511,336,132,133,94,182,188,118,44,248,130,200,327,384,330,252,400,802,84866,148287,58769,84866,148287,59594,74452,51398,23125,40089,54375,48709,89219,2003.0,0,337,2401,770,49,163,63,149,98,218,1346,1446,555600,7680,1222,400,177,126,15,82,162,89,0,15,58,207,41,0,0,0,0,453,349,11,141,197,104,8.3,6.2824752
West Colfax,10150.0,5321.0,3743.0,581.0,38.0,155.0,8.0,25.0,279.0,52.40228976,37.11511531,5.63857213,0.40113942,1.46531264,0.07183908,0.22449713,2.68123454,4902.0,5248.0,990.0,402.0,689.0,197.0,1392.0,1135.0,1874.0,2209.0,1008.0,889.0,759.0,577.0,307.0,2278.0,1637.0,21.8571539,17.12520915,32.65,32.85,33.7,9443,2263,282,77,360,523,401,478,142,7180,4387.0,826.0,2111.0,767.0,364.0,319.0,6868.0,1530.0,1556.0,1583.0,2199.0,9160.0,6528.0,2364.0,4668,4220,448,1019,3201,4220,1925,1018,907,232,675,2295,1663,632,653,448,346,216,215,197,228,137,145,270,324,357,231,125,151,177,34790,36344,25338,34790,36344,31372,37080,22910,19210,22936,25124,51852,55820,1962.5,315,118,125,191,339,712,660,766,545,897,822,900,426600,8857,1293,95,43,33,11,8,129,27,18,84,0,21,0,21,0,0,0,1048,1048,65,962,21,0,28.9,28.81188925
West Highland,9030.0,1105.0,7492.0,104.0,26.0,151.0,29.0,0.0,123.0,12.21213519,83.00542858,1.14331143,0.28328612,1.67537637,0.32650304,0.0,1.35395927,4353.0,4677.0,657.0,415.0,183.0,191.0,1072.0,438.0,1212.0,2325.0,1443.0,861.0,828.0,645.0,206.0,1446.0,1501.0,16.0125083,16.60486839,37.55,38.1,36.7,8547,1279,154,134,245,140,236,233,137,7268,4934.0,719.0,2328.0,1374.0,379.0,134.0,7254.0,196.0,914.0,1354.0,4790.0,8373.0,7755.0,427.0,4669,4291,378,2915,1376,4291,1951,1533,418,112,306,2340,1719,621,93,95,67,107,162,180,79,226,137,304,341,506,338,407,535,714,93397,135598,67028,93397,135598,66066,77320,60872,36471,40455,41846,68487,85838,976.0,142,95,434,280,109,164,131,431,417,2466,1159,1240,462500,8675,355,117,89,12,7,9,118,112,0,0,6,3,0,0,0,3,0,117,58,3,34,21,59,7.8,4.94134712
Sloan Lake,8002.0,1906.0,5455.0,332.0,37.0,133.0,3.0,0.0,136.0,20.51610327,71.89524961,4.46265396,0.316564,1.47403704,0.0695088,0.0,1.26588331,4063.0,3939.0,559.0,343.0,301.0,172.0,902.0,618.0,935.0,2046.0,1359.0,717.0,721.0,459.0,245.0,1375.0,1326.0,17.62434353,15.77295598,37.35,36.45,38.15,7618,1396,169,78,271,168,279,219,212,6222,4216.0,552.0,1916.0,1033.0,474.0,241.0,6203.0,595.0,599.0,1292.0,3717.0,7443.0,6524.0,769.0,3933,3732,201,2178,1554,3732,1773,1241,532,120,412,1959,1371,588,380,259,157,104,73,64,127,91,103,182,217,456,277,286,453,503,92377,116555,57840,92377,116555,61216,67606,55525,25893,25813,48722,63047,75440,1950.0,107,95,113,156,201,502,205,583,678,1293,1194,1274,539350,7512,490,78,51,14,0,13,114,45,0,65,4,0,0,0,0,0,0,298,291,2,289,0,7,11.15,10.2670503
